"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 19:10:40 GMT 2024","Tue Feb 06 19:10:42 GMT 2024","1968","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [2] Sauce Labs Bike Light, $9.99, A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.",""
"passed","Tue Feb 06 19:10:54 GMT 2024","Tue Feb 06 19:10:55 GMT 2024","1844","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bolt T-Shirt",""
"passed","Tue Feb 06 19:09:32 GMT 2024","Tue Feb 06 19:09:35 GMT 2024","2743","","Проверка корректности имени Issue","","allure.hw.IssueTest","testAnnotatedStep","Проверка корректности имени Issue на странице Issue с помощью аннотации @Step",""
"passed","Tue Feb 06 19:10:35 GMT 2024","Tue Feb 06 19:10:35 GMT 2024","174","","hw6.DradAndDrop","","hw6.DradAndDrop","dragAndDropTest","dragAndDropTest()",""
"passed","Tue Feb 06 19:10:05 GMT 2024","Tue Feb 06 19:10:06 GMT 2024","1042","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileWithApacheTest","скачивание файла с ссылкой href библиотека apache common io",""
"passed","Tue Feb 06 19:10:55 GMT 2024","Tue Feb 06 19:10:55 GMT 2024","1","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","simpleTest","first test",""
"passed","Tue Feb 06 19:10:55 GMT 2024","Tue Feb 06 19:10:55 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForBannedUserTest","емэйл должен быть отправлен заблокированному пользователю",""
"passed","Tue Feb 06 19:10:08 GMT 2024","Tue Feb 06 19:10:08 GMT 2024","4","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","firstTest","firstTest()",""
"passed","Tue Feb 06 19:09:40 GMT 2024","Tue Feb 06 19:09:43 GMT 2024","2798","","allure.lesson.SelenideTest","","allure.lesson.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Feb 06 19:09:58 GMT 2024","Tue Feb 06 19:09:58 GMT 2024","1","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","csvParsingTest","csvParsingTest()",""
"passed","Tue Feb 06 19:10:34 GMT 2024","Tue Feb 06 19:10:35 GMT 2024","1037","","hw6.DradAndDrop","","hw6.DradAndDrop","actionDragAndDropTest","actionDragAndDropTest()",""
"passed","Tue Feb 06 19:10:42 GMT 2024","Tue Feb 06 19:10:44 GMT 2024","1879","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [3] Sauce Labs Onesie, $7.99, Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeved and bottom won't unravel.",""
"passed","Tue Feb 06 19:10:15 GMT 2024","Tue Feb 06 19:10:18 GMT 2024","2711","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","practiceFormTest","practiceFormTest()",""
